2021-06-27 20:01:00
Total vote address: 487
Vote >= 2 USDC: 336 address
Top No.100 Vote: 2.21 USDC, Address: GKqX9waUeZBgwPW5nGiUeXc6B68wgy3mGeexGEDF8pL5
['CGjEexuki8tYteRxpEEq28ivbcsV8aFmhJS3RTZzM7vh', 3.0]
['AEm6J84mPoHwcJ86H3vM8ttHGjcPwPTAKfHMTJRh13Cf', 3.0]
['83UijXnB9SJypDgn6gCvDuaTxgHmdcp7Lsxn1uoFTHSN', 3.0]
['7zxk8QfdSg6pBtgqNeK2V2ixfDBmyifDTr1adrSNBKM3', 3.0]
['939AAWDfv2wTpR4qiSU59tyXYV12TrYr8jaxfaQWmydb', 3.0]
['GbkYegethjjLfSbK1oJYHZCd6xdK91cFEr1BbeRqiDKS', 3.0]
['3MsmkPefAd1zbtJtsrrR61pFLmXYGxr3d2BK8wt6QYzK', 3.0]
['9nShiyiANLfeuRDfTyX1whTrHR3opzL5Qxhgz3JdvYqE', 3.0]
['8oxHqtbLSKL6kvy8XhmwKemcDq8we5KsJAWi45c587gw', 3.0]
['FNc7f3ZmNNxSduGk6VRAYeUU91D73K2i3MmUfru6NcEP', 3.0]
['CP9DWvdRkY3WbUxWxF3Ko9QqGnwgAtSeYVQ7n3df5XCb', 3.0]
['D3aC25oSUw7jxPMTfHf2L44DRKsbZ3dFvA1j2BJ5HSC2', 3.0]
['FnDwYTXnXi9cbBjUuyWppcDzeHy9BwLsrsY5N96XyprB', 3.0]
['2rFfXFLQqY4CCi6HouYJqNePwaPeRJj1ZLsHoTSjyf6Z', 3.0]
['HWQYbafZF39j4wVVXmgaFbxWGLbCkeUj7CGU1bRK6wrZ', 3.0]
['E21tDRJUkKQyAsrH4W5uykfJE2jYxPJRNjouGQa66w9L', 3.0]
['4tRWDDm8WF2nkU7u334Yj3gw1LHnPwpHS2utq1DibHQw', 3.0]
['B7U5jfWemHisNYef6rPqQk6bTABU5h6PcDw8dJc3Vjkt', 3.0]
['6sKNQyeaKuGbkXtPJ1PJDM5xmcEWjgU7vLdTbSX1fQjg', 3.0]
['G3YGHZ1yk21eVca5th7ycAqmPqXnFkGtqCxkGkfHLH1m', 2.9]
['HW9fpA4UKJ7w1784MRx6Wbu1b4Jke35Pyf8iumT5iAc9', 2.8]
['3RsxSXqJ2QTrmwMp4NSKFbKiwSmgL2XLxUe6zsjtfd9S', 2.8]
['7oc8cemQXFxPGLUFodcx7dnR2YpodbeCxzWi3kEg9w31', 2.6]
['CKHouXUXSCRJsfyNm31MD9MXQ5T1gFn9ARkZuyiw3xG8', 2.5]
['7eP5shN1BCGTFD2gtXZXkyPJSGscSz1KviEmDp6JtxuQ', 2.5]
['GizQSn8koqqd77rdsYxAkty36Ench8HPaz9iKcJL9Q9B', 2.5]
['3dk1tp2JpstQWCG9ibLa4KqvkfaCrJ9aQL2c1hk86gL3', 2.5]
['mWZ1V5xTRiPy4qFeiMWhMNe5qhspSwDubVCmQLeCzof', 2.5]
['5ui8jWGsGWYbfenUE1tW8WVjtrZZbS9bHpJ9TWEeAKoH', 2.5]
['7tEyH1jyVh68ZbcUqVWfUgugaZN9cQms7QDhdSvX38ks', 2.5]
['FgJrhXEDbz6AHTyyFpr3YuZpCycQUrG6msZZZBmzW6ki', 2.5]
['CBkrxrfGTizjEnxNqTHC7jhPasPEgVgLJ3Uk4QH5ZCm8', 2.5]
['U7DB9sgjhfR79BE2Vp83aVrgFPEChKxKA88CPGF75MN', 2.4099999999999997]
['Cfq1eo8u1MHqNgLnDgvJq6niakoGpibKrdumfLNHvmBV', 2.4]
['AWpiTKzAVi3jkwhS9E8mWey2vUknac2Lm5xS4EFFtCAR', 2.4]
['4gPJbxNA7ZSK5dFQqgHSc8B94odQx5fNpZoiu68WJPtf', 2.32]
['7mQdn1iyNJ6EoYuDLmg3s2tKzfLnKFcEbzix3Tb8p8BM', 2.31]
['CaQBx5DC5jDX81mX2EuX6LDBbCm4j5Ti2vmtuBo4BUHS', 2.3]
['BK8UaKEtS6KXAriqVUfChBii8juGYqA5KEWH5JLyRZ1T', 2.3]
['GKqX9waUeZBgwPW5nGiUeXc6B68wgy3mGeexGEDF8pL5', 2.21]
['4JuPmbcLQXka2FcuZbZgzPiyW2v6J1m39zWcWk4yyq5c', 2.1999999999999997]
['7PC6xWauMxv32GuZBGqUeYGQfYCaKYXgGzXyuLdn3UTp', 2.1999999999999997]
['2vnxL1pR7pYcvqbUdD9GdnTk8EiaUeaZz2n7v1s8WGBV', 2.1999999999999997]
['Cse8QdB87aGfxVjdwmN66eWRttKaXaD75Rtohz2VPiTU', 2.1999999999999997]
['BvGXFxBSt51RXnnST7SVbpvhDLGyaUEirVSdMtGSWyAv', 2.1999999999999997]
['Cx34tE5b317zG71177CWcovokMuRuk8eJQyMfoTWQgsx', 2.1999999999999997]
['4cBqPbQdxMcj5gSFUkQrLg5tnDEeT7yv1eamQ8cWzJh1', 2.1999999999999997]
['21Xpr5xhKUpUvoCexQ4q4Rj24YE6Wd8hiJqGVajQ8Mu6', 2.1999999999999997]
['6LFzNqqRQhTpfNDDXRkX6kFKvmDDqQ7uzL8KxA7Bwnb5', 2.1599999999999997]
['6EzL2vG1ix1zrPeL9MFPmj8EkDZHHWeFH1HGJjvcP3P8', 2.15]
['3SG5kAbqiPcrDeyBcFBctxWcD8fhyzE1AfE6uF9MUkaP', 2.15]
['5CbnseSY3beTcL3ZYakp7pafFrrqJx6feygwwMmwqvuG', 2.15]
['ExPsXPoEriWntPfgQWqZvUNJ7Gp7r9BFY8nxDACB1Wjj', 2.1]
['A5cumdKpVTgFW4frZnDw4D1MLxFHhJZyGJERG4131th1', 2.1]
['BNLS3GAEAnMZwRe3htmsgnGcrqEDSDsKE8GoKsukquwr', 2.1]
['4Bn5C9LJMjtohDUWpqSQpTGtec3tbpw6C4fPmBKeNErN', 2.1]
['Hcezy2jHXA36mp5x8e32BvPy2ZPedk9auo8gFKTAMxgM', 2.1]
['29Ah9fWGqLekFj8b3ibu1cPQDagJn6zotgMHiLQQo61F', 2.1]
['BrbJcPHkiegFQXSzRcD4L9DvGK14Kv6uvahL7A2MpMum', 2.1]
['GrReXz9UXgu7Awi1qeGYwT7ctuSERvEYS78LwzjvavjE', 2.1]
['9QYzqdnFCuC2zLXPkPHsTkpifrFVscn4fb329BxiUBUc', 2.1]
['6DAJok2YHrAro1f49KD6hqC2iPiur6A5WKx5kXCahUNh', 2.1]
['DadygRpo7B17cH84JNrKdQ5NuQYTLrMcH7kWYKiJgEyV', 2.1]
['3YoMrGwWCqPRov6N5uT7RtHLV6oDGYY7THv37h1mkW4i', 2.1]
['EbbC9W5r5Kr74g7CEWhZTnSDdjnUNAudB8VKicVrFBtM', 2.1]
['CRnDVTVdBh8x5BZc4uDA2nF2Yv3dqZ4PyWT1k3DzJ39m', 2.1]
['DSgYGrNc7QLWHJhuFWZ4P7hFfYbrhhKjcajqA5xK4BsV', 2.1]
['5bGYUeQv4dL7raVV9AokmzjhCa9tapLZDVg147THRtjs', 2.1]
['DRqpuTuez3aFYRTHchMWiqeiCTpyMSzAN2VQ5Kh7GBNy', 2.1]
['AmPCTp5irTbxUxSbwFqgAhmnSxhYhZwQ7m5teAK7yJjA', 2.1]
['EZasPWBXXuhRNi72ZAWSvCcHodsfXgQgfvCFwZgMfukW', 2.1]
['AgdJ6LVoAxqfTPuhN2ZMAhyKguoD7bkQZTJdxSPJZgBE', 2.1]
['8LeFV7PWpFhEQ9sdjnjqGvWKXw1jdm4TR5LnEzqagHdp', 2.1]
['4bKG5LiWjHhJHSPa8Y3M97GeiMQKEx8H8ATbFw1uHrBE', 2.1]
['ANH2eNYjcMmdJNHTvtT4tXbtPDMwgZbZJrPo36n2TZQh', 2.1]
['9Kc4fPNbchFYZNan8CDDgWpjHM2P9v4rsnCkk5LbwtdE', 2.1]
['38GsB1mvYvkwcFtPfEC3fzLN6jF7X4khxkE3PtuKBEXg', 2.1]
['A6zw9BCaqR34XUpY3pydMmPL1yJAARRf5r2oV8TjcANL', 2.1]
['H7bdEtCpwmaAjABjXfcUDEHXYDKLP8QSC5wcQ8RfSn5w', 2.1]
['59qtEy2GxWY1sSkL39U7cDytqhU7uv1D3SQaC2rywd7b', 2.1]
['G8bKMTKBBNwLRbuikx9rNMGVEqax954RzHaTk3WxisDC', 2.1]
['2VkLeLD7x32GS5ApWMYYiH6CSZ85MqSaXkqKXBCcyaix', 2.1]
['9Mbkr2a1C1ZuY9Q9Hq9dep7w16tJGuzGRnZeZg6FnRoK', 2.1]
['3kXk6ayMwj2N6NSH6hv3jnP7wkBq5FaSse9yH6zTKCan', 2.1]
['7RrtsxYynYKDFdJQ4oXpDDe2wDsvCNte6GYYNAer1rkN', 2.1]
['A8MbmLBqbDKBaJcGdMgDQgrG5DCuNGBUTLDoZSebKEnk', 2.1]
['oz6HErhwofQWsgMHey2yr3DEuD4DgMSg47xn7XBYiTG', 2.1]
['9G1W8r4rcamg2GQVF6ED28ENMmMwv7JpLEXtRg9DDuR2', 2.1]
['4LFPZrFeNQKpp4ogQ4euJWKCmgiFJaix4yV72taZ9Pop', 2.1]
['3KgEbTZt6StXV3eHow3qGbZufsRCuWPWk7ZygEZtQHar', 2.1]
['DSs4cgiJECACeTvZJnuBUdPxv8NivcqoYUBgURxY1pm4', 2.1]
