2021-10-27 13:08:18
Voted address: 17077
Top No.20 voter voted USDC: 30.0
Add up USDC: 29194.170882999708
['549pJ7izTndAyfqnUFnrKr6YX15EaZPSiAsPd2e2v2Vb', 20.0]
['3sVuZNuAQG8qz153MpqX2DxeBSnbDh6h1dC9cENbHoNX', 20.0]
['AjjPMLic4eVYpkucmwdcBqDZBUzLVKet5tRysH9g3gcE', 20.0]
['P2h7ZMMfvjipog2tPz35fmfM7inUyLReytx4KaJTLYY', 20.0]
['BWcmQ7p53kLczTfdrft5HSJDudWE9WRhtuJkMXdzAaqz', 20.0]
['Gcj4CSnToS2BeBABW92JUq2YZUN2svK21w2DpA7WtPbF', 20.0]
['Eyy4E6aS2nexB8qw7ZdfVEYwNyEdcY57dAiCMJ9fCUcf', 20.0]
['C1HUYGJRZ61tJxV1Pk1wNxmSgPJu3SBVBVPqdzjpQosZ', 20.0]
['wFmMTXFg3j5yMgWgusRspacQ6Zynoa9wT6zML5dbRkb', 20.0]
['H2bhfX7cGPnjkMzAceC9bMYbnMq4ZbdRQehRGZSj77Wh', 20.0]
['H5FuBp8wxYRfcbHtVmPcjZjN1ZZL7b3H9oR8dxWU3bEa', 20.0]
['ESXCxZCKWqTAvqXvuSkNBFpWrevwKPQkAXnyanU1wrXk', 19.0]
['FyxTmihmKzoy5tdYcevoumnXgrFb7bWXubZ1qbjyia8q', 17.0]
['9RkMn2dnmK34oocBXpWKCSXvCeTqgSEXU6FcyWnR8xxD', 17.0]
['GizQSn8koqqd77rdsYxAkty36Ench8HPaz9iKcJL9Q9B', 17.0]
['BQpiL8orPu4U67758R6wPsfCsqgULAQ2RkH4DDkZ9BA3', 16.0]
['5LYAYP21165tyu8eS2kAwPAZTEMdqUY5T5a63WHM17pv', 16.0]
['5ucL5cEZpyVSi5pHbTfbefF8JQwcbnzr5wfk3fGWG3eu', 16.0]
['87TyXNbgsoFyTxAykjUo7qvY45b3sxJgQurtmeUueZeC', 16.0]
['34zEaJ2deG3av95B3aRMm4mUEkBbgMFDatDbbNQKFp4o', 16.0]
['7p6de5u3QykFZRMBF1caa6imyK8mJud5JTWMMQZdsjK', 15.0]
['4SQcCa1ANBw5Rb7M7DYbjWYYiNFqxVkPtHyFpdNV2pgJ', 15.0]
['BQwpTiapc3eJTWFobKvrvjd3xVrm9kHG3wmVYGXChVxr', 15.0]
['92KxSPpbn4FNJcAXcbHq6ntHeQjK7vV47nkKa9hDFduD', 15.0]
['GhoxwLC7zhwRP13shXW2s8UPYKnxkF3iCLUpNm84KNrb', 15.0]
['4oNgKrG61hFWgnqrcDHBPvAPmehDC7V5a3ZdSdkEY6on', 15.0]
['AYznbhHJ6xAFUbfPyJ4XzaMqPGva6y1deEMvrdEaBg1k', 15.0]
